187.000,11.600
471.000,19.800
744.000,16.200
1007.000,22.400
1345.000,28.000
1598.000,22.600
1868.000,33.200
2187.000,30.400
2524.000,37.000
2816.000,38.400
3427.000,44.800
3895.000,37.800
4327.000,81.000
4828.000,82.600
5568.000,145.200
6213.000,143.400
6899.000,85.600
8336.000,158.200
9741.000,160.400
11416.000,160.400
13225.000,177.200
15309.000,181.200
17512.000,168.400
19430.000,201.000
21348.000,181.800
23340.000,181.600
25652.000,208.200
27562.000,156.600
29646.000,160.400
31996.000,161.800
34800.000,177.200
37863.000,371.600
41320.000,347.000
44509.000,500.000
47681.000,396.400
51916.000,500.000
55534.000,500.000
59816.000,500.000
64109.000,500.000
68587.000,500.000
75078.000,500.000
80411.000,500.000
85302.000,500.000
91352.000,456.600
96335.000,452.400
100620.000,500.000
104328.000,500.000
108956.000,500.000
112764.000,500.000
116864.000,269.400
120722.000,426.200
125939.000,500.000
130660.000,500.000
134735.000,500.000
139290.000,417.000
143235.000,438.200
147055.000,500.000
150845.000,500.000
155325.000,500.000
160761.000,500.000
164818.000,500.000
169455.000,500.000
175078.000,500.000
